"year";"ccode";"cname";"ccodealp";"bicc_milexp";"bs_ee";"bs_h";"bti_aar";"bti_ci";"bti_cr";"bti_eo";"bti_foe";"bti_pdi";"bti_pp";"bti_su";"bti_wr";"ciri_assn";"ciri_dommov";"ciri_formov";"epi_access";"epi_eh";"eu_demmlifexpt";"eu_heamdochthab";"eu_heamdocnr";"eu_heamdocp";"ffp_fsi";"ffp_hf";"ffp_ps";"ffp_ref";"fh_pr";"gsd_fr";"hf_govint";"lis_gini";"oecd_doctor_g3";"oecd_evogdp_t1";"sgi_enen";"sgi_so";"sgi_soed";"sgi_sofa";"sgi_sogi";"sgi_sohe";"sgi_soin";"sgi_sope";"sgi_sosi";"sgi_sosl";"wdi_expedu";"wdi_expeduge";"wdi_expedup";"wdi_expedus";"wdi_exph";"wdi_idpvc";"wdi_idpvp";"wdi_refasy";"wdi_refori";"wdi_spr";"wef_ias";"wel_coc";"wvs_hap";"Applied"
2011;703;"Slovakia";"SVK";4.84;6.39866879533785;4.87675224435166;10;3;9;8;8;9;9.5;7;8.5;2;2;2;100;79.93;76.1;"330.64";"17849";"302.45";47.4;4.8;3.8;2;1;0.788041148735534;45;NA;10.9300003051758;2.81909942626953;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.96231007575989;9.81058979034424;19.0455799102783;44.5829086303711;7.95706221;NA;NA;546;269;NA;5.27667828571429;0.548734462;NA;10
2015;703;"Slovakia";"SVK";4.87;5.21283281891491;5.39565712151146;10;3;9;8;9;8;9.75;7;8.5;NA;NA;NA;100;79.99;76.7;"345.13";"18719";"289.75";44.9;3.9;2.6;4;1;0.726575225032148;47;NA;NA;3.83108472824097;5.47108685707826;5.27172749183378;4.28295182028747;4.79633471305825;4.03892215568862;4.70312397345579;6.10893999114209;6.02998729754829;5.27898156633143;6.93457841715828;NA;NA;NA;NA;NA;NA;NA;820;326;NA;5.3166587748105;NA;NA;8
2011;705;"Slovenia";"SVN";4.93;NA;NA;10;1;10;9;9;10;9.75;9;9.5;2;2;2;100;83.63;80.1;"256.81";"5272";"389.39";34;3.5;2.4;1.5;1;0.853193313330476;66;NA;10.0299997329712;0.649366974830627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.56562995910645;12.0716800689697;28.0891494750977;36.3539390563965;9.0771408;NA;NA;142;32;NA;5.791324;0.680153166;3.0169652;11
2015;705;"Slovenia";"SVN";4.72;7.1747934631449;6.47018867183591;10;2;9;9;8;9;9.5;8.5;9;NA;NA;NA;100;84.72;80.9;"288.2";"5947";"346.99";33.9;2.8;1.7;4.5;1;0.848692670381483;57;NA;NA;2.3166446685791;7.24193514481586;6.32014376666769;6.60788142874604;7.29281582568477;3.30838323353293;6.42441619544947;5.90382727555766;6.01749956432721;7.16329528817561;7.84303132186781;NA;NA;NA;NA;NA;NA;NA;292;23;NA;5.6816089927173;NA;NA;17
2011;724;"Spain";"ESP";4.93;4.60266774459489;6.83897119810322;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;92.61;82.6;"414.15";"191233";"241.46";42.8;2.3;2.9;2.6;1;0.880411487355336;61;NA;8.97999954223633;-1.00008046627045;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.86837005615234;10.625280380249;25.5446491241455;36.9709281921387;9.47835693;NA;NA;4228;43;NA;4.6193119;0.710914767;3.009861;97
2015;724;"Spain";"ESP";4.9;4.84677133628993;6.86458533606074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;94.67;83;"415.59";"193033";"240.62";39.8;2.1;2.4;2;1;0.842263180454351;59;NA;NA;3.20468044281006;5.62750219640394;5.82326124251561;5.25437489890805;5.16284093782635;3.20059880239521;6.93200639365742;7.69665554408639;6.31028529312623;4.5612967482574;7.46803132186781;NA;NA;NA;NA;NA;NA;NA;6457;59;NA;4.31817415356636;NA;NA;5724
2011;752;"Sweden";"SWE";4.77;6.89225747926995;8.41240089882743;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;96.48;81.9;"417.87";"39485";"239.31";21.3;1.8;1.8;2.6;1;0.964637805400772;92;NA;10.6999998092651;2.66440796852112;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.48505020141602;12.8830404281616;24.2594108581543;35.422119140625;11.70251308;NA;NA;86615;24;NA;6.44500241449275;0.944330595;3.3487136;990
2015;752;"Sweden";"SWE";4.75;7.72130356682329;7.33467788372419;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;97.07;82.2;NA;NA;NA;22.6;1.2;1.3;5.5;1;0.875267895413631;89;NA;NA;4.08495998382568;8.20717557371868;7.54051193984375;6.68548755948454;8.86733085458699;10;7.00529304475449;5.92959964162924;7.18298947576755;7.66125978104335;6.99213516148385;NA;NA;NA;NA;NA;NA;NA;169520;16;NA;6.25647002366873;NA;NA;52035
2011;756;"Switzerland";"CHE";4.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;85.83;82.8;"389.88";"30849";"256.49";23.3;2.2;1.7;1.8;1;0.937205315045006;90;NA;9.39999961853027;1.80455386638641;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.99603986740112;15.3257503509521;28.9111499786377;39.8345413208008;11.21213823;NA;NA;50416;20;NA;6.21978607942584;0.910259149;NA;688
2015;756;"Switzerland";"CHE";4.46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;81.32;83;"426.51";"35325";"234.46";21.8;1.8;1.1;2.2;1;0.90827261037291;85;NA;NA;0.842236936092377;7.62305934200485;7.08331237170371;7.15429742356864;5.0042994720673;6.80239520958084;7.71912996648768;6.82653966320225;7.51671202789249;7.41133276507507;8.23179244575542;NA;NA;NA;NA;NA;NA;NA;73336;17;NA;5.92400561179314;NA;NA;4745
2011;804;"Ukraine";"UKR";5.34;NA;NA;5;3;6;6;6;6;6;5.5;6;1;2;2;99.12;80.24;71.1;NA;NA;NA;67.2;6;3.9;2.9;4;0.566416630947278;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.16233015060425;13.4843196868896;15.614800453186;28.5720996856689;6.98430531;NA;NA;3176;25379;NA;4.05873515;0.300860439;2.8429692;129
2015;804;"Ukraine";"UKR";5.7;NA;NA;9;9;7;7;8;6;7.75;5;6.5;NA;NA;NA;100;84.34;72.5;NA;NA;NA;75.5;5.4;3.9;4.3;3;0.485683669095585;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;942418;1678587;3273;321418;NA;4.83206851482391;NA;NA;306
2011;807;"Macedonia";"MKD";4.99;NA;NA;8;4;8;7;6;8;7.75;6;7;2;2;2;96.42;77.74;75.1;"274.42";"5649";"364.41";69.1;6.4;4.2;4.9;3;0.629447063866267;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.61114716;NA;644;1130;7684;NA;4.79364026597938;0.491697066;NA;2
2015;807;"Macedonia";"MKD";4.87;NA;NA;7;5;8;7;4;6;6.25;5.5;7;NA;NA;NA;100;80.51;75.5;"288.62";"5975";"346.48";67;5.2;4.1;7;4;0.56260180025718;44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;199;701;1777;NA;5.1780670237991;NA;NA;997
2011;826;"United Kingdom";"GBR";5.29;5.37734327123407;6.97841449094758;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;91.53;81;NA;NA;NA;35.3;2.4;2.6;3;1;0.841620231461637;77;NA;13.3299999237061;1.50906181335449;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.70902013778687;12.7011404037476;30.7720603942871;41.5705986022949;9.33870027;NA;NA;193510;150;NA;6.08621338461538;0.816863838;NA;648
2015;826;"United Kingdom";"GBR";5.16;6.01818306615277;7.03360453476214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;93.75;81;NA;NA;NA;32.4;1.8;1.8;2.2;1;0.824689241320189;76;NA;NA;2.19422888755798;6.81474797038381;7.13517684389003;6.53677009487127;6.99260846599574;8.32634730538922;6.98476185694463;7.70060306651708;6.8699846785757;6.40334098265659;7.26699830016998;5.68426990509033;13.8802404403687;32.1665802001953;41.035831451416;NA;NA;NA;123067;131;NA;6.11566088214242;NA;NA;3042
